Metric,Passive,Active,ImprovementPercent,Unit
Peak Heave,1.72152561884788,1.51719227045159,11.8693178979841,mm
Peak Pitch,0.11661991134571,0.0575495949941536,50.651999019659,deg
Peak Roll,0.203800913153223,0.145090273228059,28.807839482556,deg
RMS Heave Acceleration,0.594374010750746,0.586142978451446,1.38482372217164,m/s^2
RMS Pitch Acceleration,35.5082641183634,33.8566373692027,4.65138690997452,deg/s^2
RMS Roll Acceleration,84.0102988713093,78.6010024499596,6.43884915781092,deg/s^2
Roll Settling Time,1.844,1.455,21.0954446854664,s
