Metric,Expected,Current,ErrorPercent
Peak Heave,2.14335647228271,2.14335647228271,0
Peak Pitch,0.0824745889587989,0.0824745889587989,0
RMS Heave Acceleration,0.923877495176121,0.923877495176121,0
RMS Pitch Acceleration,53.1701578482912,53.1701578482912,0
Settling Time,1.397,1.397,0
Peak Actuator Force,1720.69563487039,1720.69563487039,0
