Corner,PeakForce_N,RMSForce_N,SaturationPercent
FL,731.858559960607,41.4258784786878,0
FR,731.858559960607,41.4258784786878,0
RL,787.17258597027,45.0753292108544,0
RR,787.17258597027,45.0753292108544,0
