Metric,Passive,Active,ImprovementPercent,Unit
Peak Heave,2.39820265655923,2.01978876303154,15.7790623946105,mm
Peak Pitch,0.163870961677509,0.110610685443437,32.5013508731863,deg
RMS Heave Acceleration,0.940961436953925,0.934614477963504,0.674518502157436,m/s^2
RMS Pitch Acceleration,55.857621712667,54.3342884404104,2.7271717369077,deg/s^2
Settling Time,2.106,1.639,22.1747388414055,s
