Controller,Gain_Nsm,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel_mps2,RMSPitchAccel_degps2,SettlingTime_s,PeakActuatorForce_N
Passive,0,2.39820265655923,0.163870961677509,0.940961436953925,55.857621712667,2.106,0
Initial Skyhook,2500,2.01978876303154,0.110610685443437,0.934614477963504,54.3342884404104,1.639,787.17258597027
Optimized Skyhook,6000,2.14335647228271,0.0824745889587989,0.923877495176121,53.1701578482912,1.397,1720.69563487039
