Controller,KerbPeakHeave_mm,KerbPeakPitch_deg,KerbPeakRoll_deg,KerbRMSHeaveAccel,KerbRMSPitchAccel,KerbRMSRollAccel,KerbRollSettling,KerbPeakForce
Passive,1.72152561884788,0.11661991134571,0.203800913153223,0.594374010750746,35.5082641183634,84.0102988713093,1.844,0
Optimized Skyhook,1.51719227045159,0.0575495949941536,0.145090273228059,0.586142978451446,33.8566373692027,78.6010024499596,1.455,1903.02318349129
Final Tuned LQR,1.4933569555133,0.0787268545143581,0.146621994662062,0.617862029367717,36.0241008828168,79.6457528917904,1.308,1109.05152230996
