Controller,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel,RMSPitchAccel,SettlingTime,PeakForce
Passive,2.39820265655923,0.163870961677509,0.940961436953925,55.857621712667,2.106,0
Optimized Skyhook,2.14335647228271,0.0824745889587989,0.923877495176121,53.1701578482912,1.397,1720.69563487039
Final Tuned LQR,2.10566080671701,0.111688721855889,0.973144440656534,56.6278799415648,1.431,937.90003968426
