Corner,PeakSuspDeflection_mm,PeakSuspVelocity_mps,PeakTyreDeflection_mm,PeakActuatorForce_N,ActuatorUtilization_pct
FL,20.2981688651505,2.66773320954444,25.9009125058327,655.961198804623,21.8653732934874
FR,1.81892753646148,0.176794105669621,1.71344998240756,566.135978739118,18.8711992913039
RL,17.7966950583792,2.3057760633176,26.3924092082406,637.541502712807,21.2513834237602
RR,1.39137317648308,0.0988069670464947,1.28446104654569,382.239617854087,12.7413205951362
