Corner,MinimumNormalLoad_N,MaximumNormalLoad_N,ContactLoss_pct
FL,-6603.43921351906,12377.7214309045,0.25994801039792
FR,1680.18487113099,2702.73642153445,0
RL,-5569.76584016583,12708.8572547248,0.25994801039792
RR,1815.52922225185,2665.67799004685,0
