Speed_mps,Speed_kph,BumpDuration_s,RearDelay_s,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel_mps2,RMSPitchAccel_degps2,SettlingTime_s,PeakForce_N,MeanRMSForce_N,MaxSaturation_pct
10,36,0.05,0.35,4.00928371978764,0.196656037246724,1.00116230658764,58.7359867075724,1.622,1276.89304264452,87.803134191718,0
20,72,0.025,0.175,2.10566080671701,0.111688721855889,0.973144440656534,56.6278799415648,1.431,937.90003968426,52.664670152862,0
30,108,0.0166666666666667,0.116666666666667,1.52708694679247,0.0778270646651035,0.783207657422336,45.3145142296018,1.364,696.627885864961,36.8547688496913,0
40,144,0.0125,0.0875,1.28653336151081,0.0569252873937415,0.633155989028383,36.946732292756,1.331,542.156577122713,28.5765523387382,0
