Controller,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel_mps2,RMSPitchAccel_degps2,SettlingTime_s,PeakActuatorForce_N
Passive,2.39820265655923,0.163870961677509,0.940961436953925,55.857621712667,2.106,0
Optimized Skyhook,2.14335647228271,0.0824745889587989,0.923877495176121,53.1701578482912,1.397,1720.69563487039
Initial LQR,2.09415385054795,0.102336620899597,1.06039807426932,60.3803149508281,1.345,2539.76295181625
