Row,z_s,theta,phi,z_u_FL,z_u_FR,z_u_RL,z_u_RR,z_s_dot,theta_dot,phi_dot,z_u_FL_dot,z_u_FR_dot,z_u_RL_dot,z_u_RR_dot
F_FL,353407.003925639,573741.573033034,595800.192610685,-202620.564384847,-22648.2930770971,-72205.4471840988,88861.488286462,21269.8500063313,27387.9069793468,24319.1056656285,-635.678584244035,-24.8001686011139,396.305407696877,-510.335278736076
F_FR,353407.003925637,573741.57303303,-595800.192610686,-22648.2930770967,-202620.564384846,88861.4882864624,-72205.4471840984,21269.8500063312,27387.9069793467,-24319.1056656286,-24.8001686011165,-635.678584244031,-510.335278736082,396.305407696883
F_RL,344289.932416144,-508455.160733972,602625.515812028,-61075.3890371333,76377.761609434,-190063.630741634,-27125.6720666748,21847.9415669569,-25910.9318155789,24285.629117168,287.582817369141,-365.013044683533,-310.286720636345,-65.7391976277831
F_RR,344289.932416145,-508455.160733972,-602625.515812028,76377.7616094341,-61075.3890371334,-27125.6720666753,-190063.630741635,21847.941566957,-25910.9318155789,-24285.629117168,-365.013044683534,287.582817369141,-65.739197627783,-310.286720636346
