Metric,Passive,Skyhook,InitialLQR,Unit
Peak Heave,1.72152561884788,1.51719227045159,1.47757621597378,mm
Peak Pitch,0.11661991134571,0.0575495949941536,0.0717360853613783,deg
Peak Roll,0.203800913153223,0.145090273228059,0.113838242211373,deg
RMS Heave Acceleration,0.594374010750746,0.586142978451446,0.67623426830636,m/s^2
RMS Pitch Acceleration,35.5082641183634,33.8566373692027,38.5528332133416,deg/s^2
RMS Roll Acceleration,84.0102988713093,78.6010024499596,75.5574701530359,deg/s^2
Roll Settling Time,1.844,1.455,1.316,s
Peak Actuator Force,0,1903.02318349129,2524.42182735268,N
