Metric,Passive,Skyhook,InitialLQR,Unit
Peak Heave,2.39820265655923,2.14335647228271,2.10566080671701,mm
Peak Pitch,0.163870961677509,0.0824745889587989,0.111688721855889,deg
RMS Heave Acceleration,0.940961436953925,0.923877495176121,0.973144440656534,m/s^2
RMS Pitch Acceleration,55.857621712667,53.1701578482912,56.6278799415648,deg/s^2
Settling Time,2.106,1.397,1.431,s
Peak Actuator Force,0,1720.69563487039,937.90003968426,N
