Case,Stable,MaximumPoleRealPart_1ps,StabilityMargin_1ps,MinimumDampingRatio,MaximumNaturalFrequency_Hz
Nominal,1,-19.1488081931742,19.1488081931742,0.305842968462654,27.8133209232021
+10% Sprung Mass,1,-17.0760791434472,17.0760791434472,0.305842968462654,27.8922766894634
-10% Suspension Stiffness,1,-19.5615842612802,19.5615842612802,0.307383242970667,27.5758791330849
-10% Damping,1,-18.6422898130561,18.6422898130561,0.277245761157732,28.0131596293768
-10% Tyre Stiffness,1,-18.6080520843614,18.6080520843614,0.321131813817997,26.6212005904389
