Mode,Frequency_Hz,DampingRatio,PoleReal,PoleImag
1,24.0153898958404,0.291397124461023,-43.9698285363186,144.344710219288
2,25.1204957449942,0.472912356081372,-74.6429397536081,139.071437796172
3,26.7696980393987,0.479776475338646,-80.6979106128475,147.576223949272
4,28.2304289907626,0.486250947582521,-86.2497424254895,154.995444988682
