PoleReal,PoleImag,PBHRank,MinimumPBHSingularValue
-47.9522546661166,167.959235589206,14,0.00035392309123191
-47.9522546661166,-167.959235589206,14,0.00035392309123191
-2.8513831244053,18.3123232340219,14,0.000116653427146001
-2.8513831244053,-18.3123232340219,14,0.000116653427146001
-4.9386046598891,25.0617834357582,14,8.46468914655521e-05
-4.9386046598891,-25.0617834357582,14,8.46468914655521e-05
-53.6427620991795,157.938259443848,14,0.0002970117028762
-53.6427620991795,-157.938259443848,14,0.0002970117028762
-47.2937144171989,168.984836873833,14,0.000374966024677923
-47.2937144171989,-168.984836873833,14,0.000374966024677923
-53.5018550907728,158.012606654571,14,0.000332494829698654
-53.5018550907728,-158.012606654571,14,0.000332494829698654
-6.00633525393313,27.2838865062164,14,0.000176153284334847
-6.00633525393313,-27.2838865062164,14,0.000176153284334847
