Ratio,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel_mps2,RMSPitchAccel_degps2,SettlingTime_s,PeakForce_N,MeanRMSForce_N,MaxSaturation_pct,GainNorm,ObjectiveScore
0.125,2.10566080671701,0.111688721855889,0.973144440656534,56.6278799415648,1.431,937.90003968426,52.664670152862,0,497476.835690415,0.774010963104832
0.25,2.09317019556107,0.10697555229525,0.993186907078966,57.538019937137,1.326,1378.27329882001,71.8030195996076,0,784356.953791898,0.800806739554184
0.5,2.08200391054905,0.103718840569328,1.02292986326216,58.8317236304009,1.334,1934.3660724194,96.1933716859293,0,1206501.89807503,0.845533967011872
1,2.09415385054795,0.102336620899597,1.06039807426932,60.3803149508281,1.345,2539.76295181625,124.114165443369,0,1818740.68281663,0.899419390797283
