Mode,NaturalFrequency_Hz,DampingRatio,PoleRealPart_1ps,PoleImagPart_radps
1,4.37761378683616,0.696184640003356,-19.1488081931742,19.7450727505234
2,4.37761378683616,0.696184640003356,-19.1488081931742,-19.7450727505234
3,5.5492069221417,0.691785950569364,-24.1202900202939,25.1773322143624
4,5.5492069221417,0.691785950569364,-24.1202900202939,-25.1773322143624
5,8.34369415696632,0.981089045770571,-51.4335702029253,10.1472173939194
6,8.34369415696632,0.981089045770571,-51.4335702029253,-10.1472173939194
7,25.8453466575558,0.329990436190541,-53.5875107070859,153.294647093982
8,25.8453466575558,0.329990436190541,-53.5875107070859,-153.294647093982
9,26.4566979129185,0.348075881312718,-57.8614667176642,155.837222990172
10,26.4566979129185,0.348075881312718,-57.8614667176642,-155.837222990172
11,27.7621090320582,0.311708824521293,-54.3727653348363,165.743743942324
12,27.7621090320582,0.311708824521293,-54.3727653348363,-165.743743942324
13,27.8133209232021,0.305842968462654,-53.4479700642723,166.382274264316
14,27.8133209232021,0.305842968462654,-53.4479700642723,-166.382274264316
