Controller,Case,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel_mps2,RMSPitchAccel_degps2,SettlingTime_s,PeakActuatorForce_N,MeanRMSActuatorForce_N,MaxSaturation_pct,Stable
Final Tuned LQR,Nominal,2.10566080671701,0.111688721855889,0.973144440656534,56.6278799415648,1.43,937.90003968426,52.664670152862,0,1
Final Tuned LQR,+10% Sprung Mass,1.95962374679344,0.111446711092799,0.887618983500604,56.6235886814929,1.447,910.783920659878,51.1962539243541,0,1
Final Tuned LQR,-10% Suspension Stiffness,2.06644717389955,0.109095759552981,0.965291816181827,56.1538867621401,1.43,878.622542543739,48.604031740555,0,1
Final Tuned LQR,-10% Damping,2.05826450178699,0.110063658254835,0.953811691433918,55.5088271021596,1.434,959.891882133659,52.9078373987656,0,1
Final Tuned LQR,-10% Tyre Stiffness,2.07767747577505,0.110291659211909,0.900581780348547,52.3913769385141,1.434,896.153524754347,51.7897868550874,0,1
Optimized Skyhook,Nominal,2.14335647228271,0.0824745889587989,0.923877495176121,53.1701578482912,1.396,1720.69563487039,92.4077888335102,0,1
Optimized Skyhook,+10% Sprung Mass,2.02379937634903,0.0823219323473097,0.840738938437513,53.1662646864679,1.395,1665.06870321887,90.4928588149907,0,1
Optimized Skyhook,-10% Suspension Stiffness,2.1099281336423,0.0790509065675545,0.919382686535985,53.0322500192864,1.427,1681.23324529335,91.021288836067,0,1
Optimized Skyhook,-10% Damping,2.08519579244494,0.0796593299104088,0.895752667015479,51.3793637426319,1.393,1660.04902257525,88.7527554433853,0,1
Optimized Skyhook,-10% Tyre Stiffness,2.12114976133385,0.0813303230399017,0.852623302202012,48.9236395432534,1.394,1635.00859551249,89.4026904401492,0,1
