Case,PeakHeave_mm,PeakPitch_deg,RMSHeaveAccel_mps2,RMSPitchAccel_degps2,SettlingTime_s,PeakActuatorForce_N,MeanRMSActuatorForce_N,MaxSaturation_pct,Stable,HeaveChange_pct,PitchChange_pct,HeaveAccelChange_pct,PitchAccelChange_pct,SettlingChange_pct,PeakForceChange_pct
Nominal,2.10566080671701,0.111688721855889,0.973144440656534,56.6278799415648,1.43,937.90003968426,52.664670152862,0,1,0,0,0,0,0,0
+10% Sprung Mass,1.95962374679344,0.111446711092799,0.887618983500604,56.6235886814929,1.447,910.783920659878,51.1962539243541,0,1,-6.93545035637848,-0.216683259570249,-8.78856761471408,-0.00757799881679899,1.1888111888112,-2.89115234854983
-10% Suspension Stiffness,2.06644717389955,0.109095759552981,0.965291816181827,56.1538867621401,1.43,878.622542543739,48.604031740555,0,1,-1.86229580245639,-2.32159725693125,-0.806933086871375,-0.837031476216032,0,-6.32023612670664
-10% Damping,2.05826450178699,0.110063658254835,0.953811691433918,55.5088271021596,1.434,959.891882133659,52.9078373987656,0,1,-2.25089932712972,-1.45499346223257,-1.98662689883672,-1.97615174814941,0.279720279720275,2.34479598239519
-10% Tyre Stiffness,2.07767747577505,0.110291659211909,0.900581780348547,52.3913769385141,1.434,896.153524754347,51.7897868550874,0,1,-1.32895720206673,-1.25085382012222,-7.45651490944478,-7.48130250933361,0.279720279720275,-4.45106228420318
