Controller,MeanAbsSensitivity_pct,AllCasesStable,WorstPeakForce_N,WorstSaturation_pct
Final Tuned LQR,2.69658063414071,1,959.891882133659,0
Optimized Skyhook,2.85703934999314,1,1720.69563487039,0
